accession,true_ec,name,length,struct_hit,struct_hit_ec,tm_score,struct_hit_identity,struct_agree,seq_hit,seq_hit_ec,seq_identity,seq_agree
A0A0F7KYQ8,3.5.2.6,Metallo-beta-lactamase VIM-1 (EC 3.5.2.6),266,O08498,3.5.2.6,0.8415,23.69,4,C7C422,3.5.2.6,34.96,4
A0A5R8T042,3.5.2.6,Beta-lactamase CTX-M-15 (EC 3.5.2.6) (Cefotaximase 15),291,A0A649V088,3.5.2.6,0.9716,79.73,4,A0A649V088,3.5.2.6,79.73,4
A0A649V088,3.5.2.6,Beta-lactamase CTX-M-14 (EC 3.5.2.6) (Cefotaximase 14),291,A0A5R8T042,3.5.2.6,0.9716,79.73,4,A0A5R8T042,3.5.2.6,79.73,4
A5U493,3.5.2.6,Beta-lactamase (EC 3.5.2.6) (Ambler class A beta-lactamase),307,A0A5R8T042,3.5.2.6,0.8686,40.21,4,A0A649V088,3.5.2.6,42.27,4
C7C422,3.5.2.6,Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Metallo-beta-lactamase NDM-1) (Metallo-beta-lactamase type II) (New Delhi metallo-beta-lactamase-1) (NDM-1),270,O08498,3.5.2.6,0.8151,25.7,4,A0A0F7KYQ8,3.5.2.6,34.96,4
O08498,3.5.2.6,Metallo-beta-lactamase type 2 (EC 3.5.2.6) (B2 metallo-beta-lactamase) (Beta-lactamase type II) (Carbapenem-hydrolyzing beta-lactamase BlaB-1) (CHbetaL-1) (Class B carbapenemase BlaB-1) (Metallo-beta-lactamase type II),249,A0A0F7KYQ8,3.5.2.6,0.8415,23.69,4,C7C422,3.5.2.6,25.7,4
O25001,3.5.2.6,Beta-lactamase HcpA (EC 3.5.2.6) (Cysteine-rich 28 kDa protein),250,O43813,2.5.1.18,0.4729,8.8,0,A8B2U2,4.1.2.13,16.4,0
O87489,3.5.2.6,Beta-lactamase VEB-1 (EC 3.5.2.6) (Vietnamese extended-spectrum beta-lactamase),299,A0A649V088,3.5.2.6,0.8656,24.05,4,A0A649V088,3.5.2.6,24.05,4
P00760,3.4.21.4,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsin) (Pretrypsinogen I) (Trypsin I) (Trypsin-I) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],246,P00761,3.4.21.4,0.9948,82.25,4,P00761,3.4.21.4,82.25,4
P00761,3.4.21.4,Trypsin (EC 3.4.21.4),231,P07146,3.4.21.4,0.9973,79.22,4,P00760,3.4.21.4,82.25,4
P00762,3.4.21.4,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-1) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1),246,P00761,3.4.21.4,0.9936,78.79,4,P00763,3.4.21.4,89.02,4
P00763,3.4.21.4,Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2),246,P00761,3.4.21.4,0.9973,81.39,4,P00762,3.4.21.4,89.02,4
P07146,3.4.21.4,Anionic trypsin-2 (EC 3.4.21.4) (Anionic trypsin II) (Pretrypsinogen II) (Serine protease 2),246,P00761,3.4.21.4,0.9973,79.22,4,P00763,3.4.21.4,88.21,4
P07477,3.4.21.4,Serine protease 1 (EC 3.4.21.4) (Anionic trypsin I) (Anionic trypsin-I) (Beta-trypsin) (Cationic trypsinogen) (Pretrypsinogen I) (Trypsin I) (Trypsin-1) [Cleaved into: Alpha-trypsin chain 1; Alpha-trypsin chain 2],247,P00761,3.4.21.4,0.9953,78.79,4,P07478,3.4.21.4,89.47,4
P07478,3.4.21.4,Trypsin-2 (EC 3.4.21.4) (Anionic trypsinogen) (Serine protease 2) (Trypsin II),247,P00761,3.4.21.4,0.997,79.22,4,P07477,3.4.21.4,89.47,4
P35030,3.4.21.4,Trypsin-3 (EC 3.4.21.4) (Brain trypsinogen) (Mesotrypsin) (Mesotrypsinogen) (Serine protease 3) (Serine protease 4) (Trypsin III) (Trypsin IV),304,P00761,3.4.21.4,0.995,78.79,4,P07478,3.4.21.4,84.62,4
P00634,3.1.3.1,Alkaline phosphatase (APase) (EC 3.1.3.1),471,P35483,3.1.3.1,0.9744,69.85,4,P35483,3.1.3.1,69.85,4
P35482,3.1.3.1,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING),368,K4LAH1,3.1.3.1,0.8894,49.73,4,K4LAH1,3.1.3.1,49.73,4
Q92058,3.1.3.1,"Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Phosphoamidase)",519,P83456,3.1.3.1,0.9898,73.17,4,P83456,3.1.3.1,73.17,4
K4LAH1,3.1.3.1,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low molecular weight phosphatase) (Protein DING),392,P35482,3.1.3.1,0.8894,49.73,4,P35482,3.1.3.1,49.73,4
P35483,3.1.3.1,Alkaline phosphatase H (EC 3.1.3.1) (High molecular weight phosphatase) (H-AP),476,Q02QC9,3.1.3.1,0.9924,99.58,4,Q02QC9,3.1.3.1,99.58,4
P83456,3.1.3.1,Alkaline phosphatase (AP) (EC 3.1.3.1),477,Q92058,3.1.3.1,0.9898,73.17,4,Q92058,3.1.3.1,73.17,4
Q02QC9,3.1.3.1,Alkaline phosphatase H (EC 3.1.3.1) (High molecular weight phosphatase) (H-AP),476,P35483,3.1.3.1,0.9924,99.58,4,P35483,3.1.3.1,99.58,4
P19405,3.1.3.1,Alkaline phosphatase 3 (EC 3.1.3.1) (Alkaline phosphatase III) (APase III),462,P83456,3.1.3.1,0.7381,28.14,4,P35483,3.1.3.1,31.17,4
B3A003,3.2.1.17,"Lysozyme 3 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase 3) (Invertebrate-type lysozyme 3) (cv-lysozyme 3)",187,O76357,3.2.1.17,0.7705,46.76,4,O76357,3.2.1.17,46.76,4
O75951,3.2.1.17,Lysozyme-like protein 6 (EC 3.2.1.17),148,P00702,3.2.1.17,0.8602,46.94,4,P00702,3.2.1.17,46.94,4
O76357,3.2.1.17,"Invertebrate-type lysozyme 3 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase)",139,B3A003,3.2.1.17,0.7705,46.76,4,B3A003,3.2.1.17,46.76,4
P00697,3.2.1.17,"Lysozyme C-1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",148,P00701,3.2.1.17,0.8996,53.74,4,P00701,3.2.1.17,53.74,4
P00698,3.2.1.17,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)",147,P00701,3.2.1.17,0.9908,95.24,4,P00701,3.2.1.17,95.24,4
P00701,3.2.1.17,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",147,P00698,3.2.1.17,0.9908,95.24,4,P00698,3.2.1.17,95.24,4
P00702,3.2.1.17,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",147,P00698,3.2.1.17,0.9653,93.2,4,P00698,3.2.1.17,93.2,4
P00703,3.2.1.17,"Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",147,P00701,3.2.1.17,0.9814,92.52,4,P00698,3.2.1.17,95.24,4
D7EZN2,3.1.1.3,Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3),471,P00591,3.1.1.3,0.9855,62.67,4,P00591,3.1.1.3,62.67,4
I6Y2J4,3.1.1.3,Triacylglycerol lipase (EC 3.1.1.3) (Esterase/lipase) (Triolein hydrolase) [Cleaved into: Cytosolic triacylglycerol lipase; Extracellular triacylglycerol lipase],437,P04634,3.1.1.3,0.5202,2.78,4,P00331,1.1.1.1,16.95,0
O46559,3.1.1.3,Hepatic triacylglycerol lipase (HL) (Hepatic lipase) (EC 3.1.1.3) (Lipase member C) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A1) (EC 3.1.1.32),499,P07867,3.1.1.3,0.915,74.49,4,P07867,3.1.1.3,74.49,4
O88354,3.1.1.3,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3) (Heart pancreatic lipase) (PL-h),465,P00591,3.1.1.3,0.9968,82.89,4,P00591,3.1.1.3,82.89,4
P00591,3.1.1.3,Pancreatic triacylglycerol lipase (PL) (PTL) (Pancreatic lipase) (EC 3.1.1.3),450,O88354,3.1.1.3,0.9968,82.89,4,O88354,3.1.1.3,82.89,4
P04634,3.1.1.3,Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3) (Lingual lipase),395,P07098,3.1.1.3,0.9421,76.2,4,P07098,3.1.1.3,76.2,4
P07098,3.1.1.3,Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3),398,P04634,3.1.1.3,0.9421,76.2,4,P04634,3.1.1.3,76.2,4
P07867,3.1.1.3,Hepatic triacylglycerol lipase (HL) (Hepatic lipase) (EC 3.1.1.3) (Lipase member C) (Lysophospholipase) (EC 3.1.1.5) (Phospholipase A1) (EC 3.1.1.32),494,O46559,3.1.1.3,0.915,74.49,4,O46559,3.1.1.3,74.49,4
A7MAQ2,4.2.1.1,Dioscorin dioA3 (EC 1.6.5.4) (EC 4.2.1.1) (Dj-dio5) (Dj-dioA3) (Tuber storage protein dioA3),271,O04846,4.2.1.1,0.8614,32.1,4,O04846,4.2.1.1,32.1,4
O04846,4.2.1.1,"Alpha carbonic anhydrase 1, chloroplastic (AtaCA1) (AtalphaCA1) (EC 4.2.1.1) (Alpha carbonate dehydratase 1)",284,A7MAQ2,4.2.1.1,0.8614,32.1,4,A7MAQ2,4.2.1.1,32.1,4
O43570,4.2.1.1,Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3),354,P00915,4.2.1.1,0.9384,36.4,4,P00915,4.2.1.1,36.4,4
O85042,4.2.1.1,Carboxysome shell carbonic anhydrase (CsoSCA) (EC 4.2.1.1) (Carbonic anhydrase) (CA) (Carboxysome shell protein CsoS3),514,P00940,5.3.1.1,0.4176,4.03,0,P00697,3.2.1.17,14.19,0
P00915,4.2.1.1,Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase I) (Carbonic anhydrase B) (CAB) (Carbonic anhydrase I) (CA-I) (Cyanamide hydratase CA1) (EC 4.2.1.69),261,P00920,4.2.1.1,0.9808,58.85,4,P00918,4.2.1.1,60.0,4
P00918,4.2.1.1,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),260,P00919,4.2.1.1,0.9978,85.38,4,P00919,4.2.1.1,85.38,4
P00919,4.2.1.1,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),260,P00920,4.2.1.1,0.9978,77.69,4,P00918,4.2.1.1,85.38,4
P00920,4.2.1.1,Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase II) (CA-II) (Cyanamide hydratase CA2) (EC 4.2.1.69),260,P00919,4.2.1.1,0.9978,77.69,4,P00918,4.2.1.1,81.15,4
A0RV30,4.1.2.13,"Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)",376,F9VMT6,4.1.2.13,0.9457,39.89,4,B1YAL1,4.1.2.13,44.15,4
A8B2U2,4.1.2.13,"Fructose-bisphosphate aldolase (Glfba) (glFBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)",323,D4GYE0,4.1.2.13,0.8409,29.41,4,D4GYE0,4.1.2.13,29.41,4
B1YAL1,4.1.2.13,"Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13)",399,F9VMT6,4.1.2.13,0.9385,59.64,4,F9VMT6,4.1.2.13,59.64,4
D4GYE0,4.1.2.13,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II)",330,A8B2U2,4.1.2.13,0.8409,29.41,4,A8B2U2,4.1.2.13,29.41,4
F4KGQ0,4.1.2.13,"Fructose-bisphosphate aldolase 4, cytosolic (AtFBA4) (EC 4.1.2.13) (Cytosolic aldolase 3) (cAld3)",393,P00884,4.1.2.13,0.9754,56.32,4,P00883,4.1.2.13,60.71,4
F9VMT6,4.1.2.13,"Fructose-1,6-bisphosphate aldolase/phosphatase (FBP A/P) (FBP aldolase/phosphatase) (EC 3.1.3.11) (EC 4.1.2.13) (Fructose-1,6-bisphosphatase) (FBPase)",384,A0RV30,4.1.2.13,0.9457,39.89,4,B1YAL1,4.1.2.13,59.64,4
P00883,4.1.2.13,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase),364,P00884,4.1.2.13,0.9902,69.51,4,P00884,4.1.2.13,69.51,4
P00884,4.1.2.13,Fructose-bisphosphate aldolase B (EC 4.1.2.13) (Liver-type aldolase),364,P00883,4.1.2.13,0.9902,69.51,4,P00883,4.1.2.13,69.51,4
A0A509AQ68,4.2.1.11,Enolase (EC 4.2.1.11),446,P04764,4.2.1.11,0.9831,66.13,4,P04764,4.2.1.11,66.13,4
A9WCM4,4.2.1.11,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),426,O32513,4.2.1.11,0.9892,59.86,4,O69174,4.2.1.11,60.56,4
B4EUF7,4.2.1.11,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),433,A9WCM4,4.2.1.11,0.9886,58.22,4,O32513,4.2.1.11,58.89,4
O32513,4.2.1.11,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),434,A9WCM4,4.2.1.11,0.9892,59.86,4,A9WCM4,4.2.1.11,59.86,4
O69174,4.2.1.11,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase) (Laminin-binding protein),434,A9WCM4,4.2.1.11,0.9861,60.56,4,A9WCM4,4.2.1.11,60.56,4
P00924,4.2.1.11,Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1),437,P00925,4.2.1.11,0.9999,95.19,4,P00925,4.2.1.11,95.19,4
P00925,4.2.1.11,Enolase 2 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 2) (2-phosphoglycerate dehydratase 2),437,P00924,4.2.1.11,0.9999,95.19,4,P00924,4.2.1.11,95.19,4
P04764,4.2.1.11,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE),434,P00925,4.2.1.11,0.9908,61.75,4,A0A509AQ68,4.2.1.11,66.13,4
P21310,4.3.1.3,Histidine ammonia-lyase (HAL) (Histidase) (EC 4.3.1.3) (PpHAL),510,Q9HLI6,4.3.1.3,0.9626,40.12,4,Q9HLI6,4.3.1.3,40.12,4
P64416,4.3.1.3,Histidine ammonia-lyase (Histidase) (EC 4.3.1.3),504,Q9HLI6,4.3.1.3,0.9675,40.93,4,Q9HLI6,4.3.1.3,40.93,4
Q9HLI6,4.3.1.3,Probable histidine ammonia-lyase (Histidase) (EC 4.3.1.3),496,P64416,4.3.1.3,0.9675,40.93,4,P64416,4.3.1.3,40.93,4
A0A1L5YRA2,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Allergen Scy p 8) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Scy p 8.0101),248,F5A6E9,5.3.1.1,0.9993,92.34,4,F5A6E9,5.3.1.1,92.34,4
F5A6E9,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase) (allergen Pro c 8.0101),248,A0A1L5YRA2,5.3.1.1,0.9993,92.34,4,A0A1L5YRA2,5.3.1.1,92.34,4
P00939,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),249,P00940,5.3.1.1,0.998,89.52,4,P00940,5.3.1.1,89.52,4
P00940,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase),248,P00939,5.3.1.1,0.998,89.52,4,P00939,5.3.1.1,89.52,4
P00942,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),248,P00940,5.3.1.1,0.9827,52.82,4,P07669,5.3.1.1,56.05,4
P00943,5.3.1.1,Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase),253,P00942,5.3.1.1,0.9563,39.52,4,P00939,5.3.1.1,43.37,4
P04789,5.3.1.1,"Triosephosphate isomerase, glycosomal (TIM) (Triose-phosphate isomerase) (EC 5.3.1.1)",250,P00942,5.3.1.1,0.9708,49.6,4,P00940,5.3.1.1,52.02,4
P07669,5.3.1.1,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),249,P00940,5.3.1.1,0.9732,54.84,4,P00942,5.3.1.1,56.05,4
A3MTR6,5.3.1.9,Bifunctional phosphoglucose/phosphomannose isomerase (Bifunctional PGI/PMI) (EC 5.3.1.8) (EC 5.3.1.9) (Glucose-6-phosphate isomerase) (GPI) (Mannose-6-phosphate isomerase),299,Q8ZWV0,5.3.1.9,0.9938,79.26,4,Q8ZWV0,5.3.1.9,79.26,4
P84140,5.3.1.9,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),190,P0C037,2.4.2.1,0.7388,17.02,0,P00591,3.1.1.3,18.42,0
Q59000,5.3.1.9,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),401,Q9X1A5,5.3.1.9,0.9507,36.41,4,Q9X1A5,5.3.1.9,36.41,4
Q8ZWV0,5.3.1.9,Bifunctional phosphoglucose/phosphomannose isomerase (Bifunctional PGI/PMI) (EC 5.3.1.8) (EC 5.3.1.9) (Glucose-6-phosphate isomerase) (GPI) (Mannose-6-phosphate isomerase) (PaPGI/PMI),302,A3MTR6,5.3.1.9,0.9938,79.26,4,A3MTR6,5.3.1.9,79.26,4
Q9HIC2,5.3.1.9,Bifunctional phosphoglucose/phosphomannose isomerase (Bifunctional PGI/PMI) (EC 5.3.1.8) (EC 5.3.1.9) (Glucose-6-phosphate isomerase) (GPI) (Mannose-6-phosphate isomerase),310,Q9YE01,5.3.1.9,0.8846,25.81,4,A3MTR6,5.3.1.9,32.44,4
Q9X1A5,5.3.1.9,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (TmPGI),448,Q59000,5.3.1.9,0.9507,36.41,4,Q59000,5.3.1.9,36.41,4
Q9YE01,5.3.1.9,Bifunctional phosphoglucose/phosphomannose isomerase (Bifunctional PGI/PMI) (EC 5.3.1.8) (EC 5.3.1.9) (Glucose-6-phosphate isomerase) (GPI) (Mannose-6-phosphate isomerase),333,A3MTR6,5.3.1.9,0.8903,34.45,4,A3MTR6,5.3.1.9,34.45,4
P0A0T1,5.3.1.9,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),504,Q59000,5.3.1.9,0.8939,22.44,4,Q9X1A5,5.3.1.9,24.33,4
G4VJD5,5.4.2.11,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (2,3-BPG-dependent PGM) (dPGM) (EC 5.4.2.11) (Phosphoglycerate mutase) (PGM) (SmPGM)",250,P00950,5.4.2.11,0.9772,49.8,4,P18669,5.4.2.11,58.4,4
O70250,5.4.2.11,Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2) (Muscle-specific phosphoglycerate mutase) (Phosphoglycerate mutase isozyme M) (PGAM-M),253,P16290,5.4.2.11,0.9999,97.63,4,P16290,5.4.2.11,97.63,4
P00950,5.4.2.11,Phosphoglycerate mutase 1 (PGAM 1) (EC 5.4.2.11) (BPG-dependent PGAM 1) (MPGM 1) (Phosphoglyceromutase 1),247,G4VJD5,5.4.2.11,0.9772,49.8,4,O70250,5.4.2.11,53.04,4
P07738,5.4.2.11,"Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (2,3-diphosphoglycerate mutase) (DPGM) (BPG-dependent PGAM)",259,P15327,5.4.2.11,0.9939,92.28,4,P15327,5.4.2.11,92.28,4
P15259,5.4.2.11,Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2) (Muscle-specific phosphoglycerate mutase) (Phosphoglycerate mutase isozyme M) (PGAM-M),253,P16290,5.4.2.11,0.9985,93.68,4,P16290,5.4.2.11,93.68,4
P15327,5.4.2.11,"Bisphosphoglycerate mutase (BPGM) (EC 5.4.2.4) (2,3-bisphosphoglycerate mutase, erythrocyte) (2,3-bisphosphoglycerate synthase) (EC 5.4.2.11) (BPG-dependent PGAM)",259,P07738,5.4.2.11,0.9939,92.28,4,P07738,5.4.2.11,92.28,4
P16290,5.4.2.11,Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2) (Muscle-specific phosphoglycerate mutase) (Phosphoglycerate mutase isozyme M) (PGAM-M),253,O70250,5.4.2.11,0.9999,97.63,4,O70250,5.4.2.11,97.63,4
P18669,5.4.2.11,Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B),254,P15259,5.4.2.11,0.9895,81.03,4,P15259,5.4.2.11,81.03,4
O58478,5.1.1.1,Alanine/serine racemase (ASR) (Ala/Ser racemase) (EC 5.1.1.-) (EC 5.1.1.1),474,O85746,2.6.1.1,0.7003,6.05,0,P0C037,2.4.2.1,19.15,0
P06191,5.1.1.1,"Alanine racemase, catabolic (EC 5.1.1.1)",356,B9WZ64,5.1.1.1,0.9624,46.63,4,B9WZ64,5.1.1.1,46.63,4
P0A6B4,5.1.1.1,"Alanine racemase, biosynthetic (EC 5.1.1.1)",359,O59828,5.1.1.1,0.9654,45.68,4,B9WZ64,5.1.1.1,48.18,4
P10724,5.1.1.1,Alanine racemase (EC 5.1.1.1),388,P0A6B4,5.1.1.1,0.9039,33.7,4,P9WQA9,5.1.1.1,36.98,4
P9WQA9,5.1.1.1,Alanine racemase (EC 5.1.1.1),384,P0A6B4,5.1.1.1,0.9331,37.05,4,B9WZ64,5.1.1.1,38.38,4
Q9X0Z7,5.1.1.1,L-alanine/L-glutamate racemase (EC 5.1.1.1) (EC 5.1.1.3),379,O58478,5.1.1.1,0.6803,3.69,4,G4VJD5,5.4.2.11,12.8,1
B9WZ64,5.1.1.1,Alanine racemase (EC 5.1.1.1),357,O59828,5.1.1.1,0.9758,42.86,4,P0A6B4,5.1.1.1,48.18,4
O59828,5.1.1.1,"Alanine racemase, catabolic (EC 5.1.1.1)",375,B9WZ64,5.1.1.1,0.9758,42.86,4,P0A6B4,5.1.1.1,45.68,4
O08467,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha),443,P12425,6.3.1.2,0.9043,46.28,4,P12425,6.3.1.2,46.28,4
P09606,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),373,P15103,6.3.1.2,0.9997,93.3,4,P15103,6.3.1.2,93.3,4
P0A1P6,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta),469,P0A9C5,6.3.1.2,1.0,98.08,4,P0A9C5,6.3.1.2,98.08,4
P0A9C5,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta),469,P0A1P6,6.3.1.2,1.0,98.08,4,P0A1P6,6.3.1.2,98.08,4
P12425,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha),444,P0A1P6,6.3.1.2,0.9446,44.37,4,O08467,6.3.1.2,46.28,4
P14654,6.3.1.2,Glutamine synthetase cytosolic isozyme 1-2 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;2) (OsGLN1;2) (Glutamine synthetase root isozyme) (OsGS1;2),357,P14656,6.3.1.2,0.9987,85.67,4,P14656,6.3.1.2,85.67,4
P14656,6.3.1.2,Glutamine synthetase cytosolic isozyme 1-1 (EC 6.3.1.2) (Glutamate--ammonia ligase GLN1;1) (OsGLN1;1) (Glutamine synthetase shoot isozyme) (OsGS1;1),356,P14654,6.3.1.2,0.9987,85.67,4,P14654,6.3.1.2,85.67,4
P15103,6.3.1.2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),373,P09606,6.3.1.2,0.9997,93.3,4,P09606,6.3.1.2,93.3,4
